City_ID,City,Country,Max Temp,Current Description,Lat,Lon,Hotel Name
572,Dondo,MZ,18.73,clear sky,-19.6094,34.7431,Arco Iris
579,Havoysund,NO,10.49,overcast clouds,70.9963,24.6622,Arctic View Glamping & Restaurant
582,Kemijarvi,FI,10.2,few clouds,66.7131,27.4306,Hotelli Kemijärvi
583,Roald,NO,14.95,scattered clouds,62.5833,6.1333,Flem Cabins
585,Barranca,PE,18.26,broken clouds,-10.75,-77.7667,El Olivar Hospedaje
587,Vizinga,RU,18.14,scattered clouds,61.0749,50.1031,"Gostinitsa ""Nadezhda"""
590,Suhl,DE,19.95,overcast clouds,50.6,10.7,Ringberghaus
603,Umea,SE,13.28,clear sky,63.8284,20.2597,Hotel Avenue | ProfilHotels
605,Urengoy,RU,8.72,few clouds,65.9667,78.3667,Gostinnitsa Medveditsa
607,Soledade,BR,6.02,light rain,-28.8183,-52.5103,Pousada Da Gringa
609,Ancud,CL,7.74,overcast clouds,-41.8697,-73.8203,Hotel Arena Gruesa
613,Lerwick,GB,10.0,broken clouds,60.1545,-1.1494,The Lerwick Hotel
615,Charyshskoye,RU,9.64,overcast clouds,51.3978,83.5598,Gostinitsa Charysh
617,Mahanoro,MG,18.44,few clouds,-19.9,48.8,BUNGALOW MAHAMANINA
619,Svetlogorsk,BY,17.95,overcast clouds,52.6333,29.7333,Hotel Svetlogorsk JBIK
620,Sambava,MG,19.71,clear sky,-14.2667,50.1667,Melrose
626,Vilcun,CL,9.41,clear sky,-38.65,-72.2333,"Rayen-Co, Rural Tourism"
633,La Esperanza,GT,16.4,broken clouds,14.8667,-91.5667,Hotel Imperio Inn
635,Turtas,RU,12.37,scattered clouds,58.9417,69.1325,Domashnyaya Gostinitsa
636,Megion,RU,14.01,scattered clouds,61.0296,76.1136,Komfort Hotel
640,Santiago Del Estero,AR,9.65,clear sky,-27.7951,-64.2615,Apartamentos Castelli 90
645,Hornbaek,DK,17.74,overcast clouds,56.0854,12.4505,Sauntehus Castle Hotel
651,Leh,IN,12.82,clear sky,34.1667,77.5833,Hotel Ladakh Greens
653,Vikulovo,RU,14.03,few clouds,56.8167,70.6107,"Ooo ""Sistema Stroy"""
655,Betanzos,ES,16.16,broken clouds,43.2804,-8.2147,Hotel Garelos Betanzos
658,Toul,FR,19.51,clear sky,48.6667,5.9167,Abc Hotel
663,Nyrob,RU,19.44,overcast clouds,60.733,56.7202,Gostinitsa
665,Sisimiut,GL,5.73,overcast clouds,66.9395,-53.6735,Hotel Sisimiut
667,Lichinga,MZ,12.6,clear sky,-13.3128,35.2406,Residencial Bendiak
668,Monduli,TZ,15.09,scattered clouds,-3.3,36.45,Monduli Lutheran Youth Hostel
672,Dodola,ET,10.79,overcast clouds,6.9833,39.1833,Asiya Hussen
673,Rabat,MA,19.67,broken clouds,33.9911,-6.8401,Hôtel Mercure Rabat Sheherazade
680,San Luis,AR,1.68,clear sky,-33.295,-66.3356,Huarpes Hotel
682,Vallenar,CL,16.33,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
683,Labytnangi,RU,6.81,broken clouds,66.6572,66.4183,Priuralye Hotel
685,Bodo,NO,12.03,broken clouds,67.28,14.405,Clarion Collection Hotel Grand Bodø
686,Grafenau,DE,18.26,overcast clouds,48.8577,13.3974,Landhotel Postwirt
693,Namanyere,TZ,14.77,scattered clouds,-7.5167,31.05,Manyovu Lodge
699,Berezovka,BY,14.64,clear sky,53.7214,25.4993,Nad Nemanom Usad'ba
