,City,Country,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
282,Nouadhibou,MR,20.931,-17.0347,20.99,78,18,9.26,few clouds
283,Torbay,CA,47.6666,-52.7314,17.43,89,90,8.23,light rain
284,Lagoa,PT,39.05,-27.9833,19.56,87,90,2.31,overcast clouds
285,Natal,BR,-5.795,-35.2094,26.36,73,75,7.72,broken clouds
286,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,25.67,84,54,1.07,light rain
287,Logrono,ES,42.4667,-2.45,15.72,59,40,2.57,scattered clouds
288,Esil,KZ,51.9556,66.4042,19.03,83,35,3.91,scattered clouds
289,Faya,SA,18.3851,42.4509,23.06,53,61,0.88,broken clouds
290,Hofn,IS,64.2539,-15.2082,10.38,66,100,3.53,overcast clouds
291,Bahia Blanca,AR,-38.7196,-62.2724,7.01,81,86,7.23,overcast clouds
292,Uyutne,UA,45.1994,33.3014,22.67,77,0,4.08,clear sky
293,Paragominas,BR,-2.9667,-47.4833,24.48,78,65,0.92,broken clouds
294,Abhar,IR,36.1468,49.218,21.04,51,85,1.62,overcast clouds
295,Waupun,US,43.6333,-88.7296,24.0,78,100,2.36,overcast clouds
296,Matao,BR,-21.6033,-48.3658,19.55,32,0,2.44,clear sky
297,Myra,IT,45.4358,12.1348,25.48,74,0,3.09,clear sky
298,Sovetskiy,RU,61.3614,63.5842,14.95,78,63,2.16,broken clouds
299,Azua,DO,18.4532,-70.7349,28.44,77,74,3.24,broken clouds
300,Riviere-Au-Renard,CA,48.9957,-64.3971,25.16,98,100,4.75,overcast clouds
301,Agadez,NE,19.75,10.25,31.82,12,0,3.88,clear sky
302,Chardara,KZ,41.2547,67.9692,23.65,31,0,4.24,clear sky
303,Vardo,NO,70.3705,31.1107,11.11,91,100,7.9,overcast clouds
304,Mayumba,GA,-3.432,10.6554,22.62,91,93,0.69,overcast clouds
305,Port Blair,IN,11.6667,92.75,27.18,80,29,4.28,scattered clouds
306,Gbadolite,CD,4.2833,21.0167,21.37,97,100,1.48,light rain
307,Cap-Aux-Meules,CA,47.3821,-61.8597,20.03,94,90,8.75,overcast clouds
308,Izvoarele Sucevei,RO,47.75,25.1833,11.9,97,37,0.74,scattered clouds
309,Estelle,US,29.8458,-90.1067,31.1,65,75,1.34,broken clouds
310,Diego De Almagro,CL,-26.3667,-70.05,13.53,28,0,2.27,clear sky
311,Lebu,CL,-37.6167,-73.65,8.47,74,22,6.64,few clouds
312,Raudeberg,NO,61.9875,5.1352,12.33,91,63,5.61,broken clouds
313,Mezen,RU,65.8522,44.24,12.06,67,100,3.2,overcast clouds
314,Ostrovnoy,RU,68.0531,39.5131,10.74,72,92,5.43,overcast clouds
315,Moen,NO,69.1304,18.6123,12.4,58,75,1.54,broken clouds
316,Togur,RU,58.3631,82.8265,11.96,64,100,2.65,overcast clouds
317,Andenes,NO,69.3143,16.1194,10.99,71,90,6.69,overcast clouds
